permutation,update,agent,test number,0
1,5,A1,54,0.9309024604461356
1,5,A1,55,0.9309024604461356
1,5,A1,56,0.9309024604461356
1,5,A1,57,0.9309024604461356
1,5,A1,58,0.9309024604461356
1,5,A1,59,0.9309024604461356
1,5,A1,60,0.9309024604461356
1,5,A1,61,0.9309024604461356
1,5,A1,62,0.9309024604461356
1,5,A1,63,0.9309024604461356
1,5,A1,64,0.9309024604461356
1,5,A1,65,0.9309024604461356
1,5,A1,66,0.9309024604461356
1,5,A1,67,0.9309024604461356
1,5,A1,68,0.9309024604461356
1,5,A1,69,0.9309024604461356
1,5,A1,70,0.9309024604461356
1,5,A1,71,0.9309024604461356
1,5,A1,72,0.9309024604461356
1,5,A1,73,0.9309024604461356
1,5,A1,74,0.9309024604461356
1,5,A1,75,0.9309024604461356
1,5,A1,76,0.9309024604461356
1,5,A1,77,0.9309024604461356
1,5,A1,78,0.9309024604461356
1,5,A1,79,0.9309024604461356
1,5,A1,80,0.9309024604461356
1,5,A1,81,0.9309024604461356
1,5,A1,82,0.9309024604461356
1,5,A1,83,0.9309024604461356
1,5,A1,84,0.9309024604461356
1,5,A1,85,0.9309024604461356
1,5,A1,86,0.9309024604461356
1,5,A1,87,0.9309024604461356
1,5,A1,88,0.9309024604461356
1,5,A1,89,0.9309024604461356
1,5,A1,90,0.9309024604461356
1,5,A1,91,0.9309024604461356
1,5,A1,92,0.9309024604461356
1,5,A1,93,0.9309024604461356
1,5,A1,94,0.9309024604461356
1,5,A1,95,0.9309024604461356
1,5,A1,96,0.9309024604461356
1,5,A1,97,0.9309024604461356
1,5,A1,98,0.9309024604461356
1,5,A1,99,0.9309024604461356
1,5,A1,100,0.9309024604461356
1,5,A2,1,0.8683103622260694
1,5,A2,2,0.8683103622260694
1,5,A2,3,0.8683103622260694
1,5,A2,4,0.8683103622260694
1,5,A2,5,0.8683103622260694
1,5,A2,6,0.8683103622260694
1,5,A2,7,0.8683103622260694
1,5,A2,8,0.8683103622260694
1,5,A2,9,0.8683103622260694
1,5,A2,10,0.8683103622260694
1,5,A2,11,0.8683103622260694
1,5,A2,12,0.8683103622260694
1,5,A2,13,0.8683103622260694
1,5,A2,14,0.8683103622260694
1,5,A2,15,0.8683103622260694
1,5,A2,16,0.8683103622260694
1,5,A2,17,0.8683103622260694
1,5,A2,18,0.8683103622260694
1,5,A2,19,0.8683103622260694
1,5,A2,20,0.8683103622260694
1,5,A2,21,0.8683103622260694
1,5,A2,22,0.8683103622260694
1,5,A2,23,0.8683103622260694
1,5,A2,24,0.8683103622260694
1,5,A2,25,0.8683103622260694
1,5,A2,26,0.8683103622260694
1,5,A2,27,0.8683103622260694
1,5,A2,28,0.8683103622260694
1,5,A2,29,0.8683103622260694
1,5,A2,30,0.8683103622260694
1,5,A2,31,0.8683103622260694
1,5,A2,32,0.8683103622260694
1,5,A2,33,0.8683103622260694
1,5,A2,34,0.8683103622260694
1,5,A2,35,0.8683103622260694
1,5,A2,36,0.8683103622260694
1,5,A2,37,0.8683103622260694
1,5,A2,38,0.8683103622260694
1,5,A2,39,0.8683103622260694
1,5,A2,40,0.8683103622260694
1,5,A2,41,0.8683103622260694
1,5,A2,42,0.8683103622260694
1,5,A2,43,0.8683103622260694
1,5,A2,44,0.8683103622260694
1,5,A2,45,0.8683103622260694
1,5,A2,46,0.8683103622260694
1,5,A2,47,0.8683103622260694
1,5,A2,48,0.8683103622260694
1,5,A2,49,0.8683103622260694
1,5,A2,50,0.8683103622260694
1,5,A2,51,0.8683103622260694
1,5,A2,52,0.8683103622260694
1,5,A2,53,0.8683103622260694
1,5,A2,54,0.8683103622260694
1,5,A2,55,0.8683103622260694
1,5,A2,56,0.8683103622260694
1,5,A2,57,0.8683103622260694
1,5,A2,58,0.8683103622260694
1,5,A2,59,0.8683103622260694
1,5,A2,60,0.8683103622260694
1,5,A2,61,0.8683103622260694
1,5,A2,62,0.8683103622260694
1,5,A2,63,0.8683103622260694
1,5,A2,64,0.8683103622260694
1,5,A2,65,0.8683103622260694
1,5,A2,66,0.8683103622260694
1,5,A2,67,0.8683103622260694
1,5,A2,68,0.8683103622260694
1,5,A2,69,0.8683103622260694
1,5,A2,70,0.8683103622260694
1,5,A2,71,0.8683103622260694
1,5,A2,72,0.8683103622260694
1,5,A2,73,0.8683103622260694
1,5,A2,74,0.8683103622260694
1,5,A2,75,0.8683103622260694
1,5,A2,76,0.8683103622260694
